clean_leather_no,clean_folder,product,source_leather_no,hide_code,Q1_percent,Q1_area_m2,Q5_percent,boundary_area_m2,leather_svg_xml,leather_stat_xml,leather_preview_png,leather_preview_svg
1,001_CY817_03_L0696156_Q1_52.45pct,CY817,3,L0696156,52.4463,1.183328,6.2381,2.256263,leathers/001_CY817_03_L0696156_Q1_52.45pct/leather_svg.xml,leathers/001_CY817_03_L0696156_Q1_52.45pct/leather_stat.xml,leathers/001_CY817_03_L0696156_Q1_52.45pct/leather_preview.png,leathers/001_CY817_03_L0696156_Q1_52.45pct/leather_preview.svg
2,002_CY817_02_L0696154_Q1_58.55pct,CY817,2,L0696154,58.5525,1.424328,5.2213,2.432568,leathers/002_CY817_02_L0696154_Q1_58.55pct/leather_svg.xml,leathers/002_CY817_02_L0696154_Q1_58.55pct/leather_stat.xml,leathers/002_CY817_02_L0696154_Q1_58.55pct/leather_preview.png,leathers/002_CY817_02_L0696154_Q1_58.55pct/leather_preview.svg
3,003_CY817_08_L0696166_Q1_59.89pct,CY817,8,L0696166,59.887,1.362062,5.4996,2.274387,leathers/003_CY817_08_L0696166_Q1_59.89pct/leather_svg.xml,leathers/003_CY817_08_L0696166_Q1_59.89pct/leather_stat.xml,leathers/003_CY817_08_L0696166_Q1_59.89pct/leather_preview.png,leathers/003_CY817_08_L0696166_Q1_59.89pct/leather_preview.svg
4,004_CY817_17_L0696184_Q1_61.51pct,CY817,17,L0696184,61.5102,1.348211,8.0381,2.191852,leathers/004_CY817_17_L0696184_Q1_61.51pct/leather_svg.xml,leathers/004_CY817_17_L0696184_Q1_61.51pct/leather_stat.xml,leathers/004_CY817_17_L0696184_Q1_61.51pct/leather_preview.png,leathers/004_CY817_17_L0696184_Q1_61.51pct/leather_preview.svg
5,005_CY817_18_L0696186_Q1_63.13pct,CY817,18,L0696186,63.1287,1.524865,7.1228,2.415484,leathers/005_CY817_18_L0696186_Q1_63.13pct/leather_svg.xml,leathers/005_CY817_18_L0696186_Q1_63.13pct/leather_stat.xml,leathers/005_CY817_18_L0696186_Q1_63.13pct/leather_preview.png,leathers/005_CY817_18_L0696186_Q1_63.13pct/leather_preview.svg
6,006_CY817_06_L0696162_Q1_66.73pct,CY817,6,L0696162,66.7278,1.50056,6.2878,2.24878,leathers/006_CY817_06_L0696162_Q1_66.73pct/leather_svg.xml,leathers/006_CY817_06_L0696162_Q1_66.73pct/leather_stat.xml,leathers/006_CY817_06_L0696162_Q1_66.73pct/leather_preview.png,leathers/006_CY817_06_L0696162_Q1_66.73pct/leather_preview.svg
7,007_CY817_14_L0696178_Q1_66.76pct,CY817,14,L0696178,66.7552,1.62172,9.0887,2.429355,leathers/007_CY817_14_L0696178_Q1_66.76pct/leather_svg.xml,leathers/007_CY817_14_L0696178_Q1_66.76pct/leather_stat.xml,leathers/007_CY817_14_L0696178_Q1_66.76pct/leather_preview.png,leathers/007_CY817_14_L0696178_Q1_66.76pct/leather_preview.svg
8,008_CY817_12_L0696174_Q1_67.04pct,CY817,12,L0696174,67.0373,1.516069,6.0526,2.261531,leathers/008_CY817_12_L0696174_Q1_67.04pct/leather_svg.xml,leathers/008_CY817_12_L0696174_Q1_67.04pct/leather_stat.xml,leathers/008_CY817_12_L0696174_Q1_67.04pct/leather_preview.png,leathers/008_CY817_12_L0696174_Q1_67.04pct/leather_preview.svg
9,009_CY817_10_L0696170_Q1_67.15pct,CY817,10,L0696170,67.15,1.481892,5.3802,2.206839,leathers/009_CY817_10_L0696170_Q1_67.15pct/leather_svg.xml,leathers/009_CY817_10_L0696170_Q1_67.15pct/leather_stat.xml,leathers/009_CY817_10_L0696170_Q1_67.15pct/leather_preview.png,leathers/009_CY817_10_L0696170_Q1_67.15pct/leather_preview.svg
10,010_CY817_01_L0696152_Q1_69.31pct,CY817,1,L0696152,69.3056,1.673357,6.1842,2.414462,leathers/010_CY817_01_L0696152_Q1_69.31pct/leather_svg.xml,leathers/010_CY817_01_L0696152_Q1_69.31pct/leather_stat.xml,leathers/010_CY817_01_L0696152_Q1_69.31pct/leather_preview.png,leathers/010_CY817_01_L0696152_Q1_69.31pct/leather_preview.svg
11,011_CY817_05_L0696160_Q1_71.38pct,CY817,5,L0696160,71.3766,1.608006,5.117,2.252849,leathers/011_CY817_05_L0696160_Q1_71.38pct/leather_svg.xml,leathers/011_CY817_05_L0696160_Q1_71.38pct/leather_stat.xml,leathers/011_CY817_05_L0696160_Q1_71.38pct/leather_preview.png,leathers/011_CY817_05_L0696160_Q1_71.38pct/leather_preview.svg
12,012_CY817_09_L0696168_Q1_71.45pct,CY817,9,L0696168,71.4472,1.68273,6.0138,2.355208,leathers/012_CY817_09_L0696168_Q1_71.45pct/leather_svg.xml,leathers/012_CY817_09_L0696168_Q1_71.45pct/leather_stat.xml,leathers/012_CY817_09_L0696168_Q1_71.45pct/leather_preview.png,leathers/012_CY817_09_L0696168_Q1_71.45pct/leather_preview.svg
13,013_CZ402_04_L09169696_Q1_71.99pct,CZ402,4,L09169696,71.9941,1.9189,5.8467,2.665355,leathers/013_CZ402_04_L09169696_Q1_71.99pct/leather_svg.xml,leathers/013_CZ402_04_L09169696_Q1_71.99pct/leather_stat.xml,leathers/013_CZ402_04_L09169696_Q1_71.99pct/leather_preview.png,leathers/013_CZ402_04_L09169696_Q1_71.99pct/leather_preview.svg
14,014_CY817_13_L0696176_Q1_72.26pct,CY817,13,L0696176,72.2647,1.746633,11.5206,2.416994,leathers/014_CY817_13_L0696176_Q1_72.26pct/leather_svg.xml,leathers/014_CY817_13_L0696176_Q1_72.26pct/leather_stat.xml,leathers/014_CY817_13_L0696176_Q1_72.26pct/leather_preview.png,leathers/014_CY817_13_L0696176_Q1_72.26pct/leather_preview.svg
15,015_CY817_11_L0696172_Q1_72.41pct,CY817,11,L0696172,72.4127,1.79048,6.0666,2.472604,leathers/015_CY817_11_L0696172_Q1_72.41pct/leather_svg.xml,leathers/015_CY817_11_L0696172_Q1_72.41pct/leather_stat.xml,leathers/015_CY817_11_L0696172_Q1_72.41pct/leather_preview.png,leathers/015_CY817_11_L0696172_Q1_72.41pct/leather_preview.svg
16,016_CY817_07_L0696164_Q1_72.51pct,CY817,7,L0696164,72.5138,1.762098,7.2125,2.430018,leathers/016_CY817_07_L0696164_Q1_72.51pct/leather_svg.xml,leathers/016_CY817_07_L0696164_Q1_72.51pct/leather_stat.xml,leathers/016_CY817_07_L0696164_Q1_72.51pct/leather_preview.png,leathers/016_CY817_07_L0696164_Q1_72.51pct/leather_preview.svg
17,017_CY817_15_L0696180_Q1_74.19pct,CY817,15,L0696180,74.1892,1.519041,5.2421,2.047523,leathers/017_CY817_15_L0696180_Q1_74.19pct/leather_svg.xml,leathers/017_CY817_15_L0696180_Q1_74.19pct/leather_stat.xml,leathers/017_CY817_15_L0696180_Q1_74.19pct/leather_preview.png,leathers/017_CY817_15_L0696180_Q1_74.19pct/leather_preview.svg
18,018_CY817_04_L0696158_Q1_74.85pct,CY817,4,L0696158,74.8546,1.707468,6.0711,2.281046,leathers/018_CY817_04_L0696158_Q1_74.85pct/leather_svg.xml,leathers/018_CY817_04_L0696158_Q1_74.85pct/leather_stat.xml,leathers/018_CY817_04_L0696158_Q1_74.85pct/leather_preview.png,leathers/018_CY817_04_L0696158_Q1_74.85pct/leather_preview.svg
19,019_CY817_16_L0696182_Q1_77.70pct,CY817,16,L0696182,77.7006,1.735654,5.1551,2.233772,leathers/019_CY817_16_L0696182_Q1_77.70pct/leather_svg.xml,leathers/019_CY817_16_L0696182_Q1_77.70pct/leather_stat.xml,leathers/019_CY817_16_L0696182_Q1_77.70pct/leather_preview.png,leathers/019_CY817_16_L0696182_Q1_77.70pct/leather_preview.svg
