piece,leather,ub
BACK HANDLE TOP,L0696152,25
BACK SLASH POCKET INTERIOR PATCH,L0696152,8
BACK SNAP PATCH,L0696152,4
BACK WRAP SNAP,L0696152,41
BOTTOM,L0696152,28
FLAP FACING SNAP PATCH,L0696152,9
FLAP TOP,L0696152,12
FLAP TOP BIDNING,L0696152,13
FRONT HANDLE TOP,L0696152,29
FRONT RIGHT ANCHOR TOP,L0696152,2
FRONT WRAP SNAP,L0696152,63
GUSSET,L0696152,33
GUSSET LEFT RIGHT ANCHOR,L0696152,2
HANDLE LEFT FACING,L0696152,33
HANDLE RIGHT FACING,L0696152,31
HANGTAG FACING,L0696152,9
HANGTAG TOP,L0696152,10
LONG SS MOOR KEEPER,L0696152,8
SHORT SS D RING ANCHOR,L0696152,9
SS ANCHOR,L0696152,0
SS FLOATING SOLID GLUE FILLER,L0696152,16
BACK HANDLE TOP,L0696154,25
BACK SLASH POCKET INTERIOR PATCH,L0696154,8
BACK SNAP PATCH,L0696154,4
BACK WRAP SNAP,L0696154,41
BOTTOM,L0696154,28
FLAP FACING SNAP PATCH,L0696154,9
FLAP TOP,L0696154,12
FLAP TOP BIDNING,L0696154,13
FRONT HANDLE TOP,L0696154,29
FRONT RIGHT ANCHOR TOP,L0696154,2
FRONT WRAP SNAP,L0696154,63
GUSSET,L0696154,33
GUSSET LEFT RIGHT ANCHOR,L0696154,2
HANDLE LEFT FACING,L0696154,33
HANDLE RIGHT FACING,L0696154,31
HANGTAG FACING,L0696154,9
HANGTAG TOP,L0696154,10
LONG SS MOOR KEEPER,L0696154,8
SHORT SS D RING ANCHOR,L0696154,9
SS ANCHOR,L0696154,0
SS FLOATING SOLID GLUE FILLER,L0696154,16
BACK HANDLE TOP,L0696156,25
BACK SLASH POCKET INTERIOR PATCH,L0696156,8
BACK SNAP PATCH,L0696156,4
BACK WRAP SNAP,L0696156,41
BOTTOM,L0696156,28
FLAP FACING SNAP PATCH,L0696156,9
FLAP TOP,L0696156,12
FLAP TOP BIDNING,L0696156,13
FRONT HANDLE TOP,L0696156,29
FRONT RIGHT ANCHOR TOP,L0696156,2
FRONT WRAP SNAP,L0696156,63
GUSSET,L0696156,33
GUSSET LEFT RIGHT ANCHOR,L0696156,2
HANDLE LEFT FACING,L0696156,33
HANDLE RIGHT FACING,L0696156,31
HANGTAG FACING,L0696156,9
HANGTAG TOP,L0696156,10
LONG SS MOOR KEEPER,L0696156,8
SHORT SS D RING ANCHOR,L0696156,9
SS ANCHOR,L0696156,0
SS FLOATING SOLID GLUE FILLER,L0696156,16
BACK HANDLE TOP,L0696158,25
BACK SLASH POCKET INTERIOR PATCH,L0696158,8
BACK SNAP PATCH,L0696158,4
BACK WRAP SNAP,L0696158,41
BOTTOM,L0696158,28
FLAP FACING SNAP PATCH,L0696158,9
FLAP TOP,L0696158,12
FLAP TOP BIDNING,L0696158,13
FRONT HANDLE TOP,L0696158,29
FRONT RIGHT ANCHOR TOP,L0696158,2
FRONT WRAP SNAP,L0696158,63
GUSSET,L0696158,33
GUSSET LEFT RIGHT ANCHOR,L0696158,2
HANDLE LEFT FACING,L0696158,33
HANDLE RIGHT FACING,L0696158,31
HANGTAG FACING,L0696158,9
HANGTAG TOP,L0696158,10
LONG SS MOOR KEEPER,L0696158,8
SHORT SS D RING ANCHOR,L0696158,9
SS ANCHOR,L0696158,0
SS FLOATING SOLID GLUE FILLER,L0696158,16
BACK HANDLE TOP,L0696160,25
BACK SLASH POCKET INTERIOR PATCH,L0696160,8
BACK SNAP PATCH,L0696160,4
BACK WRAP SNAP,L0696160,41
BOTTOM,L0696160,28
FLAP FACING SNAP PATCH,L0696160,9
FLAP TOP,L0696160,12
FLAP TOP BIDNING,L0696160,13
FRONT HANDLE TOP,L0696160,29
FRONT RIGHT ANCHOR TOP,L0696160,2
FRONT WRAP SNAP,L0696160,63
GUSSET,L0696160,33
GUSSET LEFT RIGHT ANCHOR,L0696160,2
HANDLE LEFT FACING,L0696160,33
HANDLE RIGHT FACING,L0696160,31
HANGTAG FACING,L0696160,9
HANGTAG TOP,L0696160,10
LONG SS MOOR KEEPER,L0696160,8
SHORT SS D RING ANCHOR,L0696160,9
SS ANCHOR,L0696160,0
SS FLOATING SOLID GLUE FILLER,L0696160,16
BACK HANDLE TOP,L0696162,25
BACK SLASH POCKET INTERIOR PATCH,L0696162,8
BACK SNAP PATCH,L0696162,4
BACK WRAP SNAP,L0696162,41
BOTTOM,L0696162,28
FLAP FACING SNAP PATCH,L0696162,9
FLAP TOP,L0696162,12
FLAP TOP BIDNING,L0696162,13
FRONT HANDLE TOP,L0696162,29
FRONT RIGHT ANCHOR TOP,L0696162,2
FRONT WRAP SNAP,L0696162,63
GUSSET,L0696162,33
GUSSET LEFT RIGHT ANCHOR,L0696162,2
HANDLE LEFT FACING,L0696162,33
HANDLE RIGHT FACING,L0696162,31
HANGTAG FACING,L0696162,9
HANGTAG TOP,L0696162,10
LONG SS MOOR KEEPER,L0696162,8
SHORT SS D RING ANCHOR,L0696162,9
SS ANCHOR,L0696162,0
