piece,leather,ub
BACK HANDLE TOP,L0696152,15
BACK SLASH POCKET INTERIOR PATCH,L0696152,5
BACK SNAP PATCH,L0696152,3
BACK WRAP SNAP,L0696152,26
BOTTOM,L0696152,17
FLAP FACING SNAP PATCH,L0696152,6
FLAP TOP,L0696152,9
FLAP TOP BIDNING,L0696152,9
FRONT HANDLE TOP,L0696152,18
FRONT RIGHT ANCHOR TOP,L0696152,1
FRONT WRAP SNAP,L0696152,39
GUSSET,L0696152,23
GUSSET LEFT RIGHT ANCHOR,L0696152,1
HANDLE LEFT FACING,L0696152,22
HANDLE RIGHT FACING,L0696152,21
HANGTAG FACING,L0696152,6
HANGTAG TOP,L0696152,6
LONG SS MOOR KEEPER,L0696152,5
SHORT SS D RING ANCHOR,L0696152,7
SS ANCHOR,L0696152,0
SS FLOATING SOLID GLUE FILLER,L0696152,10
BACK HANDLE TOP,L0696154,15
BACK SLASH POCKET INTERIOR PATCH,L0696154,5
BACK SNAP PATCH,L0696154,3
BACK WRAP SNAP,L0696154,26
BOTTOM,L0696154,17
FLAP FACING SNAP PATCH,L0696154,6
FLAP TOP,L0696154,9
FLAP TOP BIDNING,L0696154,9
FRONT HANDLE TOP,L0696154,18
FRONT RIGHT ANCHOR TOP,L0696154,1
FRONT WRAP SNAP,L0696154,39
GUSSET,L0696154,23
GUSSET LEFT RIGHT ANCHOR,L0696154,1
HANDLE LEFT FACING,L0696154,22
HANDLE RIGHT FACING,L0696154,21
HANGTAG FACING,L0696154,6
HANGTAG TOP,L0696154,6
LONG SS MOOR KEEPER,L0696154,5
SHORT SS D RING ANCHOR,L0696154,7
SS ANCHOR,L0696154,0
SS FLOATING SOLID GLUE FILLER,L0696154,10
BACK HANDLE TOP,L0696156,15
BACK SLASH POCKET INTERIOR PATCH,L0696156,5
BACK SNAP PATCH,L0696156,3
BACK WRAP SNAP,L0696156,26
BOTTOM,L0696156,17
FLAP FACING SNAP PATCH,L0696156,6
FLAP TOP,L0696156,9
FLAP TOP BIDNING,L0696156,9
FRONT HANDLE TOP,L0696156,18
FRONT RIGHT ANCHOR TOP,L0696156,1
FRONT WRAP SNAP,L0696156,39
GUSSET,L0696156,23
GUSSET LEFT RIGHT ANCHOR,L0696156,1
HANDLE LEFT FACING,L0696156,22
HANDLE RIGHT FACING,L0696156,21
HANGTAG FACING,L0696156,6
HANGTAG TOP,L0696156,6
LONG SS MOOR KEEPER,L0696156,5
SHORT SS D RING ANCHOR,L0696156,7
SS ANCHOR,L0696156,0
SS FLOATING SOLID GLUE FILLER,L0696156,10
BACK HANDLE TOP,L0696158,15
BACK SLASH POCKET INTERIOR PATCH,L0696158,5
BACK SNAP PATCH,L0696158,3
BACK WRAP SNAP,L0696158,26
BOTTOM,L0696158,17
FLAP FACING SNAP PATCH,L0696158,6
FLAP TOP,L0696158,9
FLAP TOP BIDNING,L0696158,9
FRONT HANDLE TOP,L0696158,18
FRONT RIGHT ANCHOR TOP,L0696158,1
FRONT WRAP SNAP,L0696158,39
GUSSET,L0696158,23
GUSSET LEFT RIGHT ANCHOR,L0696158,1
HANDLE LEFT FACING,L0696158,22
HANDLE RIGHT FACING,L0696158,21
HANGTAG FACING,L0696158,6
HANGTAG TOP,L0696158,6
LONG SS MOOR KEEPER,L0696158,5
SHORT SS D RING ANCHOR,L0696158,7
SS ANCHOR,L0696158,0
SS FLOATING SOLID GLUE FILLER,L0696158,10
BACK HANDLE TOP,L0696160,15
BACK SLASH POCKET INTERIOR PATCH,L0696160,5
BACK SNAP PATCH,L0696160,3
BACK WRAP SNAP,L0696160,26
BOTTOM,L0696160,17
FLAP FACING SNAP PATCH,L0696160,6
FLAP TOP,L0696160,9
FLAP TOP BIDNING,L0696160,9
FRONT HANDLE TOP,L0696160,18
FRONT RIGHT ANCHOR TOP,L0696160,1
FRONT WRAP SNAP,L0696160,39
GUSSET,L0696160,23
GUSSET LEFT RIGHT ANCHOR,L0696160,1
HANDLE LEFT FACING,L0696160,22
HANDLE RIGHT FACING,L0696160,21
HANGTAG FACING,L0696160,6
HANGTAG TOP,L0696160,6
LONG SS MOOR KEEPER,L0696160,5
SHORT SS D RING ANCHOR,L0696160,7
