leather,total_mm2,Q1_mm2,Q2_mm2,Q3_mm2,Q4_mm2,Q5_mm2
1. N0696153,0.0,0.0,0.0,0.0,0.0,0.0
10. N0696171,0.0,0.0,0.0,0.0,0.0,0.0
11. N0696173,0.0,0.0,0.0,0.0,0.0,0.0
12. N0696175,0.0,0.0,0.0,0.0,0.0,0.0
13. N0696177,0.0,0.0,0.0,0.0,0.0,0.0
14. N0696179,0.0,0.0,0.0,0.0,0.0,0.0
14. N09169717,0.0,0.0,0.0,0.0,0.0,0.0
15. N0696181,0.0,0.0,0.0,0.0,0.0,0.0
15. N09169719,0.0,0.0,0.0,0.0,0.0,0.0
16. N0696183,0.0,0.0,0.0,0.0,0.0,0.0
16. N09169721,0.0,0.0,0.0,0.0,0.0,0.0
17. N0696185,0.0,0.0,0.0,0.0,0.0,0.0
17. N09169723,0.0,0.0,0.0,0.0,0.0,0.0
18. N0696187,0.0,0.0,0.0,0.0,0.0,0.0
18. N09169725,0.0,0.0,0.0,0.0,0.0,0.0
19. N0696189,0.0,0.0,0.0,0.0,0.0,0.0
19. N09169727,0.0,0.0,0.0,0.0,0.0,0.0
2. N0696155,0.0,0.0,0.0,0.0,0.0,0.0
2. N09169693,0.0,0.0,0.0,0.0,0.0,0.0
20. N0696191,0.0,0.0,0.0,0.0,0.0,0.0
20. N09169729,0.0,0.0,0.0,0.0,0.0,0.0
3. N0696157,0.0,0.0,0.0,0.0,0.0,0.0
4. N0696159,0.0,0.0,0.0,0.0,0.0,0.0
4. N09169697,0.0,0.0,0.0,0.0,0.0,0.0
5. N0696161,0.0,0.0,0.0,0.0,0.0,0.0
5. N09169699,0.0,0.0,0.0,0.0,0.0,0.0
6. N0696163,0.0,0.0,0.0,0.0,0.0,0.0
7. N0696165,0.0,0.0,0.0,0.0,0.0,0.0
8. N0696167,0.0,0.0,0.0,0.0,0.0,0.0
9. N0696169,0.0,0.0,0.0,0.0,0.0,0.0
